CODGEO;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_MAISON;P21_APPART;P21_RP_1P;P10_RP_HABFOR;P10_RP_CASE;P10_RP_MIBOIS;P10_RP_MIDUR
68368;605.805116984708;549.719095479332;22.0337941628264;34.0522273425499;502.022801280905;102.782538834163;2.04581081988347;;;;
68370;123.055214723926;76.0552147239264;33;14;87.2269938650307;34.8282208588957;0;;;;
68371;156.29364671981;133.932356397229;4.65860215053763;17.702688172043;145.369408778041;9.86903297483106;1.00901075095079;;;;
68372;928.034495202312;814.316173958901;43.273343482006;70.4449777614051;682.289420771286;243.727725207344;3.10693178795781;;;;
68373;182.883741801755;144.683741801755;14.0736842105264;24.1263157894738;168.589958534007;11.1565430849961;2.05267981297986;;;;
68374;3980.04959295409;3640.78672818075;73.7973603132336;265.465504460104;2002.05590686346;1968.10224814551;76.3800448430817;;;;
68375;4846.19920487893;4489.99580342554;13.4799372117849;342.723464241602;3550.09592622614;1287.54626384145;65.1531832614173;;;;
68376;6785.58535349845;6370.52982902322;42.6917703516079;372.36375412362;4033.30591481537;2743.49880907143;131.457903846023;;;;
68377;391.387235825661;350.726768896834;6.324961522262;34.3355054065652;333.216331867788;56.2726476557433;0.99009181561071;;;;
68378;182.672599211604;160.100088389094;5.37440733869306;17.1981034838178;125.135370669568;56.5616121030142;0;;;;
68379;516.29344015305;494.238504453807;6.61648070977285;15.43845498947;456.028379290321;60.2650608627289;0;;;;
68380;232.892363926247;195.732881167626;11.0474137931035;26.1120689655173;201.641905000249;30.2348694368103;0;;;;
68381;410.56291985605;341.655047159233;21.7603808516266;47.1474918451909;360.277215340685;48.3346287714091;3.83998932736294;;;;
68382;170.828465407462;152.50326215543;0.832963784183297;17.4922394678492;148.530354250801;20.1504471939815;0;;;;
68383;193.133326310418;157.323141125233;12.2777777777778;23.5324074074074;153.201672581797;39.931653728621;1.03457621949722;;;;
